ID,Price,Age,KM,HP,CC,Weight
776,9750,65,77500,110,1600,1050
777,9450,63,77457,110,1600,1055
778,8950,68,77029,86,1300,1015
779,8950,68,77008,86,1300,1015
780,8900,66,76791,110,1600,1070
781,9950,61,76700,86,1300,1035
782,8750,67,76569,86,1300,1020
783,8950,59,76162,110,1600,1075
784,8990,65,76155,110,1600,1035
785,8950,61,75609,86,1300,1015
786,8950,62,75569,72,2000,1120
787,9950,67,75429,110,1600,1065
788,9900,68,75000,110,1600,1075
789,8950,65,75000,86,1300,1015
790,8950,62,75000,110,1600,1070
791,9500,66,74963,107,1600,1085
792,7950,68,74889,86,1300,1015
793,7750,68,74875,110,1600,1070
794,8950,63,74747,110,1600,1075
795,11950,60,74720,110,1600,1085
796,8950,62,74457,110,1600,1075
797,11950,60,74337,86,1300,1035
798,8950,68,74308,110,1600,1050
799,9950,64,74193,110,1600,1050
800,8250,65,74179,110,1600,1050
801,8995,67,73936,86,1300,1050
802,9995,61,73894,110,1600,1065
803,9250,64,73500,110,1600,1050
804,10950,64,73376,110,1600,1070
805,8900,64,73300,86,1300,1015
806,9500,58,73172,110,1600,1075
807,9950,58,72928,110,1600,1075
808,7950,67,72880,86,1332,1015
809,8250,63,72522,110,1600,1050
810,9450,64,72000,86,1300,1015
811,7950,57,72000,86,1300,1015
812,9500,59,71366,110,1600,1065
813,8950,65,71317,110,1600,1050
814,10950,62,71000,110,1600,1070
815,8950,60,70954,110,1600,1050
816,9450,63,70908,86,1300,1035
817,8000,58,70560,110,1600,1050
818,9900,67,70552,110,1600,1075
819,8950,62,70500,110,1600,1035
820,10900,60,70453,72,2000,1135
821,9450,59,70218,110,1600,1050
822,8450,64,70116,110,1600,1035
823,9500,65,70068,110,1600,1075
824,10500,67,70000,107,1587,1065
825,6950,68,70000,86,1300,1015
826,9750,68,69103,110,1600,1035
827,6950,58,69022,86,1300,1035
828,9650,67,69000,110,1600,1065
829,9950,68,68865,110,1600,1065
830,9250,58,68723,86,1300,1025
831,8950,63,68453,110,1600,1070
832,9900,63,68238,86,1300,1050
833,10995,63,68153,110,1600,1085
834,10500,65,68000,110,1600,1075
835,8950,65,68000,86,1300,1015
836,9750,67,67762,110,1600,1065
837,10950,68,67146,110,1600,1075
838,9750,67,67110,86,1300,1035
839,9950,59,67010,110,1600,1065
840,10500,65,67003,110,1600,1035
841,10400,68,66785,86,1300,1045
842,8800,68,66550,86,1332,1010
843,10500,61,66259,110,1600,1065
844,9250,62,66082,110,1600,1070
845,7800,65,66000,86,1300,1015
846,9950,61,66000,110,1600,1050
847,10750,63,65896,110,1600,1065
848,10950,67,65785,110,1600,1075
849,9950,65,65513,110,1600,1070
850,9950,59,65463,110,1600,1070
851,8100,68,65400,86,1300,1000
852,9250,60,65259,110,1600,1050
853,7800,64,65000,110,1600,1050
854,9000,68,65000,110,1600,1070
855,8950,57,65000,110,1600,1035
856,8950,62,64966,86,1300,1020
857,9950,68,64950,110,1600,1075
858,8500,60,64914,110,1600,1070
859,7995,62,64797,110,1600,1075
860,8750,65,64772,110,1600,1050
861,9750,63,64690,86,1300,1020
862,10950,65,64630,110,1600,1070
863,9750,67,64613,110,1600,1085
864,8200,60,64383,86,1300,1015
865,8950,68,64000,110,1600,1075
866,9500,66,63881,86,1300,1015
867,10950,58,63870,72,2000,1135
868,9750,66,63328,86,1300,1065
869,9950,65,63000,86,1300,1065
870,10450,61,63000,86,1300,1050
871,9850,65,62396,110,1600,1050
872,9450,62,62377,110,1600,1075
873,10295,67,62316,110,1600,1050
874,9750,68,62292,110,1600,1065
875,8950,65,62225,110,1600,1050
876,9900,68,62222,110,1600,1075
877,8750,66,62135,86,1300,1035
878,9950,58,62024,110,1600,1075
879,8500,60,61977,86,1300,1015
880,9950,62,61930,110,1600,1035
881,10950,57,61682,110,1600,1050
882,9795,68,61568,110,1600,1035
883,8750,68,61504,110,1600,1035
884,8250,65,61384,110,1600,1050
885,9950,58,61343,110,1600,1075
886,9950,62,61254,110,1600,1075
887,10500,59,61166,110,1600,1050
888,9750,62,61149,86,1300,1040
889,11250,61,61144,110,1600,1090
890,8900,59,61127,110,1600,1050
891,7950,60,61100,86,1300,1015
892,11500,68,61100,110,1600,1075
893,9450,57,61000,110,1600,1050
894,7995,65,60724,86,1300,1015
895,10995,59,60708,86,1300,1045
896,8950,61,60532,110,1600,1050
897,8250,67,60000,86,1300,1030
898,8950,66,60000,86,1300,1015
899,8950,65,60000,86,1300,1015
900,9500,62,59295,86,1300,1035
901,7500,65,59264,86,1300,1015
902,8950,63,59000,110,1600,1050
903,9950,63,59000,86,1300,1035
904,9750,65,59000,110,1600,1075
905,9450,61,59000,110,1600,1070
906,9950,65,59000,110,1600,1050
907,9750,68,58860,110,1600,1055
908,8950,65,58829,110,1600,1050
909,8250,66,58654,110,1600,1070
910,7750,65,58300,86,1300,1015
911,8950,60,58269,110,1600,1050
912,9950,64,58136,110,1600,1075
913,9450,66,58113,107,1600,1085
914,12950,67,58058,110,1600,1065
915,9950,58,58000,110,1600,1050
916,10495,62,58000,110,1600,1065
917,7950,68,57565,86,1300,1035
918,10500,63,57413,107,1600,1115
919,8950,65,57374,110,1600,1075
920,9900,62,57179,110,1600,1075
921,9995,61,57169,110,1600,1065
922,9950,63,57124,110,1600,1065
923,9950,63,57000,110,1600,1050
924,8250,67,57000,110,1600,1050
925,9950,63,57000,86,1300,1035
926,8950,59,56259,86,1300,1015
927,10950,62,56209,107,1600,1080
928,9250,67,56074,86,1300,1000
929,9950,63,55942,110,1600,1070
930,9995,57,55844,86,1300,1045
931,8750,61,55747,86,1300,1020
932,10950,58,55478,86,1300,1045
933,10350,60,55085,107,1600,1105
934,9950,65,55061,110,1600,1070
935,8950,65,55000,86,1300,1015
936,10950,57,55000,110,1600,1075
937,10950,63,54936,110,1600,1075
938,8950,68,54875,110,1600,1070
939,8900,67,54847,110,1600,1050
940,10250,60,54554,110,1600,1065
941,9450,61,54125,110,1600,1035
942,9250,61,54000,110,1600,1055
943,10500,57,54000,110,1600,1075
944,7350,58,54000,86,1300,1035
945,10250,57,54000,110,1600,1135
946,10250,62,53285,110,1600,1075
947,11500,65,53053,110,1600,1075
948,8950,68,53000,110,1587,1075
949,7750,68,53000,86,1300,1015
950,9500,64,52968,110,1600,1050
951,8450,67,52800,86,1300,1015
952,8950,57,52548,110,1600,1050
953,8400,60,52487,110,1600,1035
954,9250,66,52383,86,1300,1015
955,8900,61,52112,110,1600,1035
956,8750,58,51712,110,1600,1050
957,10950,58,51421,110,1600,1105
958,8950,61,51235,86,1300,1000
959,8950,65,51000,86,1300,1015
960,8895,61,50925,110,1600,1070
961,9390,66,50806,86,1300,1480
962,8750,59,50469,110,1600,1070
963,9750,61,50173,110,1600,1075
964,9950,62,50000,110,1600,1075
965,10950,65,49942,110,1600,1065
966,9900,67,49585,110,1600,1085
967,9500,62,49258,110,1600,1035
968,9950,61,49000,110,1600,1050
969,9950,63,48738,110,1600,1055
970,10500,62,47750,86,1300,1040
971,9950,63,47612,86,1300,1015
972,10495,68,47500,86,1300,1035
973,9500,66,47237,110,1600,1050
974,8500,58,47171,86,1300,1015
975,10450,60,47060,110,1600,1035
976,8950,65,47014,86,1300,1015
977,9900,59,46929,86,1300,1025
978,8900,63,46000,86,1300,1035
979,8745,65,45681,110,1600,1050
980,8750,65,45549,86,1300,1015
981,10750,57,45000,110,1600,1050
982,9750,57,45000,110,1600,1050
983,8850,65,45000,110,1600,1075
984,7950,66,45000,86,1300,1035
985,9450,63,45000,110,1600,1035
986,9950,61,45000,107,1600,1085
987,8250,63,44944,110,1600,1035
988,9950,61,44597,86,1300,1015
989,9995,68,44458,86,1300,1015
990,9950,59,43818,110,1600,1070
991,10495,60,43426,110,1600,1070
992,7950,58,43000,110,1600,1114
993,8950,68,43000,110,1600,1035
994,9695,57,43000,110,1600,1075
995,7750,64,43000,86,1300,1015
996,9950,68,42750,110,1600,1050
997,9950,67,42102,110,1600,1075
998,9950,63,41586,110,1600,1114
999,9900,64,41200,110,1600,1070
1000,10950,57,40214,86,1300,1025
1001,8950,60,40000,86,1300,1000
1002,8950,66,39222,86,1300,1045
1003,8250,66,39144,110,1600,1050
1004,10250,62,39000,110,1600,1075
